id     time       xs    ys     zs      SeisMom       Energy     SeisMag        kind       mCycleSeis
1  1.0  5.8845  3.4956  -2.45362  1.017660739959535  1.94656253104e-06  -5.994931319787402  4  1
2  1.0  -17.2534  85.5948  9.71294  0.0029594826416361906  5.78410666986e-09  -7.685856135312176  4  1
3  1.0  2.0705  -5.664  0.38078  0.08571734694133193  1.75347207898e-07  -6.711287519584944  1  1
4  1.0  9.4069  4.2316  -3.94614  0.00028612543124795285  5.63469489914e-10  -8.36229569316581  1  1
5  1.0  -5.8547  -0.4712  4.17488  0.1582698771577777  3.14786532947e-07  -6.533734489813877  4  1
6  1.0  -11.3759  24.0148  0.86782  0.05891944513686477  1.14096496778e-07  -6.819827567799515  1  1
7  1.0  -1.2912  -2.7232  -8.45126  0.0013940286416195987  2.88012192708e-09  -7.9038188687739  1  1
8  1.0  -7.3302  7.9248  -0.53982  0.0022591097424476472  4.48655685526e-09  -7.764041781014932  1  1
9  1.0  16.8553  -50.1248  -2.44638  0.14195591113757086  2.73431246842e-07  -6.565231012302351  1  1
10  1.0  -10.7402  -39.6324  -5.17254  0.0009034739290679449  1.85812233152e-09  -8.029389583374947  1  1
11  1.0  -1.1246  -2.4092  -4.65144  3.0237306682453804e-10  5.91923617531e-16  -10  1  1
12  1.0  10.5319  40.8032  8.82756  0.000569329162118893  1.18023487118e-09  -8.163091046821403  1  1
13  1.0  8.9486  -1.2844  0.64358  0.000975151130682657  1.85489615089e-09  -8.007285380894904  1  1
14  1.0  -12.8219  6.5056  7.0604  0.013266134955093671  2.62715445943e-08  -7.251503725986582  4  1
15  1.0  -9.8711  -14.4492  -2.41538  1.769673937327217e-05  3.65945849886e-11  -9.168071163391307  4  1
16  1.0  -15.6366  -20.5336  4.73262  4.091356076832603e-07  8.0999307561e-13  -10  1  1
17  1.0  8.6098  18.612  0.72262  0.06735153114579596  1.37158153305e-07  -6.781101684488141  4  1
18  1.0  10.1988  48.152  4.39358  0.23026498175251622  4.59057422924e-07  -6.42518140244564  1  1
19  1.0  -2.6357  7.0444  -0.13798  6.879180781366295  1.33490095645e-05  -5.441642184908467  1  1
20  1.0  -1.4517  2.9104  5.74094  0.0021522022870706856  4.47654597998e-09  -7.778077940953646  4  1
21  1.0  2.9155  4.548  2.00876  0.21302904041300513  4.25835007898e-07  -6.44770745926797  4  1
22  1.0  -3.3793  16.3048  1.88066  0.00133078321307545  2.6401589776e-09  -7.917261790731991  1  1
23  1.0  -7.979  -12.9236  -0.34042  0.14936358186575485  2.94920685448e-07  -6.550503520121983  4  1
